,Place,Firstname,Lastname,Gender,Solo or Duo,StartDate,Status,StartTiming,Timing1,Timing2,Timing3,Timing4,Timing5,Timing6,Timing7,Timing8,Timing9,TimingFinish
0,1,Bas,Vlaskamp,male,Solo,2021,Finisher,Sat 11:00,,13h44m,16h33m,24h01m,30h50m,49h27m,53h30m,68h44m,77h42m,91h49m
1,2,Sven,Cappuyns,male,Solo,2021,Finisher,Sat 7:45,,14h54m,18h04m,26h49m,33h31m,53h27m,57h26m,76h25m,85h42m,104h28m
2,3,Richard,Frans,male,Solo,2021,Finisher,Sat 7:15,,17h17m,20h46m,31h24m,46h49m,59h36m,63h45m,85h32m,96h40m,109h57m
3,4,Paul,Hesen,male,Solo,2021,Finisher,Fri 6:15,05h55m,18h52m,26h31m,35h00m,43h02m,59h16m,62h54m,84h31m,100h00m,112h35m
4,5,Jason,Schreurs,male,Solo,2021,Finisher,Sat 6:30,05h12m,16h02m,18h51m,32h49m,41h17m,60h07m,65h13m,89h39m,104h46m,117h54m
5,6,Roeland,van der Hoorn,male,Solo,2021,Finisher,Sat 7:45,05h09m,16h38m,23h17m,33h44m,48h52m,72h10m,78h19m,102h05m,110h23m,123h11m
6,7,Mark,de Vos,male,Solo,2021,Finisher,Sat 8:00,05h25m,17h30m,22h02m,37h29m,47h27m,62h21m,74h24m,96h50m,107h18m,126h15m
7,8,Joep,van Luijt,male,Solo,2021,Finisher,Sat 6:45,05h46m,17h54m,20h54m,31h39m,50h19m,63h56m,76h24m,99h50m,108h09m,127h25m
8,9,Tjerk,Bakker,male,Solo,2021,Finisher,Sat 7:30,05h14m,23h21m,26h45m,36h19m,53h45m,76h51m,82h30m,105h31m,121h56m,132h02m
9,10,Pier,Nijenhuis,male,Solo,2021,Finisher,Sat 8:00,05h54m,23h21m,27h11m,37h09m,52h48m,77h42m,83h11m,107h27m,122h05m,133h52m
10,11,Martin,Lukasse,male,Solo,2021,Finisher,Sat 7:00,05h14m,24h20m,28h10m,37h48m,54h25m,77h35m,83h04m,107h54m,124h47m,135h35m
11,12,Pieter Wilbert,Molemaker,male,Solo,2021,Finisher,Sat 6:00,05h22m,26h06m,29h43m,39h21m,56h48m,77h10m,83h09m,109h55m,124h42m,136h10m
12,13,Korjun,de Boer,male,Solo,2021,Finisher,Fri 9:45,06h13m,26h10m,30h20m,47h56m,55h35m,77h01m,82h20m,107h26m,125h42m,147h29m
13,14,Sander,Verdiesen,male,Solo,2021,Finisher,Sat 7:30,05h40m,25h27m,29h08m,48h19m,59h18m,93h32m,98h21m,123h17m,140h54m,153h22m
